Date,Index,Open,High,Low,Close,Adj Close,Volume
2012/1/3,IXIC,2657.389893,2665.899902,2641.97998,2648.719971,2648.719971,1636850000
2012/1/4,IXIC,2639.899902,2653.179932,2627.22998,2648.360107,2648.360107,1670530000
2012/1/5,IXIC,2642.570068,2673.560059,2631.22998,2669.860107,2669.860107,1836410000
2012/1/6,IXIC,2671.169922,2682.120117,2658.830078,2674.219971,2674.219971,1683090000
2012/1/9,IXIC,2682.97998,2683.780029,2662.959961,2676.560059,2676.560059,1768080000
2012/1/10,IXIC,2704.419922,2712.5,2694.330078,2702.5,2702.5,1809500000
2012/1/11,IXIC,2695.77002,2714.290039,2690.72998,2710.76001,2710.76001,1699660000
2012/1/12,IXIC,2716.870117,2726.429932,2697.320068,2724.699951,2724.699951,1669550000
2012/1/13,IXIC,2707.409912,2712.929932,2689.580078,2710.669922,2710.669922,1655960000
2012/1/17,IXIC,2736.340088,2742.72998,2721.030029,2728.080078,2728.080078,1664210000
2012/1/18,IXIC,2731.159912,2769.709961,2730.050049,2769.709961,2769.709961,1968940000
2012/1/19,IXIC,2779.73999,2793.350098,2777.169922,2788.330078,2788.330078,1959950000
2012/1/20,IXIC,2776.040039,2787.199951,2775.870117,2786.699951,2786.699951,1949660000
2012/1/23,IXIC,2786.209961,2804.98999,2769.820068,2784.169922,2784.169922,1652940000
2012/1/24,IXIC,2771.580078,2788.379883,2766.340088,2786.639893,2786.639893,1620690000
2012/1/25,IXIC,2803.22998,2822.790039,2788.949951,2818.310059,2818.310059,1918040000
2012/1/26,IXIC,2828.780029,2834.300049,2794.780029,2805.280029,2805.280029,1998970000
2012/1/27,IXIC,2797.659912,2821.550049,2797.23999,2816.550049,2816.550049,1707350000
2012/1/30,IXIC,2790.399902,2816.850098,2782.439941,2811.939941,2811.939941,1668970000
2012/1/31,IXIC,2825.76001,2830.449951,2798.77002,2813.840088,2813.840088,1786550000
2012/2/1,IXIC,2830.100098,2855.72998,2825.189941,2848.27002,2848.27002,2125720000
2012/2/2,IXIC,2854.100098,2868.22998,2849.399902,2859.679932,2859.679932,1913430000
2012/2/3,IXIC,2888.949951,2908.129883,2885.840088,2905.659912,2905.659912,2152890000
2012/2/6,IXIC,2892.52002,2903.030029,2887.330078,2901.98999,2901.98999,1684490000
2012/2/7,IXIC,2895.909912,2910.27002,2885.169922,2904.080078,2904.080078,1784580000
2012/2/8,IXIC,2906.590088,2918.26001,2892.709961,2915.860107,2915.860107,1981150000
2012/2/9,IXIC,2922.459961,2930.679932,2904.51001,2927.22998,2927.22998,2153090000
2012/2/10,IXIC,2902,2910.97998,2895.100098,2903.879883,2903.879883,1787640000
2012/2/13,IXIC,2926.209961,2933.929932,2913.889893,2931.389893,2931.389893,1619980000
2012/2/14,IXIC,2921.699951,2932.080078,2911.600098,2931.830078,2931.830078,1881630000
2012/2/15,IXIC,2943.419922,2958.189941,2911.330078,2915.830078,2915.830078,2038980000
2012/2/16,IXIC,2915.669922,2961.379883,2912.719971,2959.850098,2959.850098,1945230000
2012/2/17,IXIC,2958.219971,2962.780029,2941.550049,2951.780029,2951.780029,1973900000
2012/2/21,IXIC,2957.300049,2965.050049,2934.070068,2948.570068,2948.570068,1821540000
2012/2/22,IXIC,2942.77002,2950.370117,2929.679932,2933.169922,2933.169922,1706310000
2012/2/23,IXIC,2933.159912,2958.419922,2922.959961,2956.97998,2956.97998,1768390000
2012/2/24,IXIC,2963.129883,2970.879883,2958.820068,2963.75,2963.75,1643180000
2012/2/27,IXIC,2945.870117,2976.080078,2933.300049,2966.159912,2966.159912,1763650000
2012/2/28,IXIC,2969.25,2988.590088,2966.610107,2986.76001,2986.76001,1812490000
2012/2/29,IXIC,2991.669922,3000.110107,2961.77002,2966.889893,2966.889893,2170190000
2012/3/1,IXIC,2979.110107,2996.370117,2974.590088,2988.969971,2988.969971,1903690000
2012/3/2,IXIC,2986.080078,2995.969971,2968,2976.189941,2976.189941,1755130000
2012/3/5,IXIC,2969.72998,2973.929932,2940.52002,2950.47998,2950.47998,1679030000
2012/3/6,IXIC,2917.52002,2921.77002,2900.280029,2910.320068,2910.320068,1870720000
2012/3/7,IXIC,2922.570068,2940.280029,2920.540039,2935.689941,2935.689941,1589360000
2012/3/8,IXIC,2954.399902,2976.050049,2945.72998,2970.419922,2970.419922,1619740000
2012/3/9,IXIC,2975.090088,2993.97998,2973.959961,2988.340088,2988.340088,1580560000
2012/3/12,IXIC,2989.050049,2994.100098,2973.649902,2983.659912,2983.659912,1341660000
2012/3/13,IXIC,3003.709961,3039.889893,2996.459961,3039.879883,3039.879883,1709900000
2012/3/14,IXIC,3042.209961,3051.370117,3024.72998,3040.72998,3040.72998,1662300000
2012/3/15,IXIC,3048.580078,3059.810059,3037.820068,3056.370117,3056.370117,1677540000
2012/3/16,IXIC,3058.48999,3060.820068,3047.689941,3055.26001,3055.26001,2088610000
2012/3/19,IXIC,3057.23999,3087.100098,3050.889893,3078.320068,3078.320068,1548400000
2012/3/20,IXIC,3060.929932,3078.719971,3050.820068,3074.149902,3074.149902,1508580000
2012/3/21,IXIC,3077.439941,3090.080078,3069.090088,3075.320068,3075.320068,1552400000
2012/3/22,IXIC,3055,3068.5,3050.699951,3063.320068,3063.320068,1524800000
2012/3/23,IXIC,3066.370117,3070.929932,3044.669922,3067.919922,3067.919922,1428940000
2012/3/26,IXIC,3090.52002,3122.570068,3090.050049,3122.570068,3122.570068,1627520000
2012/3/27,IXIC,3124.060059,3134.169922,3119.030029,3120.350098,3120.350098,1662460000
2012/3/28,IXIC,3123.840088,3130.560059,3086.929932,3104.959961,3104.959961,1765680000
2012/3/29,IXIC,3087.25,3099.800049,3069.810059,3095.360107,3095.360107,1756160000
2012/3/30,IXIC,3110.969971,3111.550049,3079.050049,3091.570068,3091.570068,1833130000
